web-scraper-order,web-scraper-start-url,link,link-href,Name,Price,Image
"1553486709-1596","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Combo 2 Hộp Yến sào cao cấp Bionest Gold - hộp tiết kiệm (12 lọ x 70ml)","396.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1772","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Thùng 15 chai dầu ăn hướng dương Kico 1L","577.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1407","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Giỏ hoa tươi Hoa Yêu Thương - Khúc Hát Thành Công","1.320.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1412","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Bó hoa tươi Hoa Yêu Thương - Rose Love","1.100.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1649","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Mì xào khô vị sườn Goreng Rasa Iga Penyet gói 80g","4.500đ","https://media-ak.static-adayroi.com/240_240/70/hc0/hb0/10222622015518.jpg"
"1553486675-1425","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Kẹo","https://www.adayroi.com/keo-c3325600174461076","Kẹo mút sắc màu Chupa Chups gói 100g","9.900đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1525","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Snack tôm cay đặc biệt Oishi gói 45g","5.200đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1462","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh bơ trứng Richy gói 270g","37.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1460","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh Custas kem phô mai dâu Orion hộp 282g","63.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486675-1430","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Kẹo","https://www.adayroi.com/keo-c3325600174461076","Kẹo mềm hương trái cây Sugus gói 210g","35.300đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1753","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Combo 3 chai dầu ăn hướng dương KiCo (2L + 1L + 500ml)","131.900đ","https://media-ak.static-adayroi.com/240_240/70/hd8/h0f/17138208833566.jpg"
"1553486768-1767","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Nước mắm cá cơm siêu hạng Hồng Hạnh chai 1L","69.700đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1474","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh Marine Boy Orion vị gà BBQ hộp 35g","13.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1749","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Trứng gà ta Ba Huân hộp 6 quả x 35g","25.900đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1542","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Nước khoáng thiên nhiên Aquafina chai 500ml","3.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1553","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Trà xanh Matcha Tea+ (Plus) chai 350ml","6.400đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1512","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Snack Swing vị bít tết kiểu New York gói 48g","11.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1388","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Bó hoa tươi Hoa Yêu Thương - Purple Love","2.420.000đ","https://media-ak.static-adayroi.com/240_240/70/hda/h81/16951341350942.jpg"
"1553486693-1520","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Bánh lát khoai tây vị tự nhiên Slide hộp 75g","24.800đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1652","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Mì Mi Goreng gói 85g","4.600đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1456","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh gạo Nhật Ichi vị mật ong Kameda gói 180g","25.600đ","https://media-ak.static-adayroi.com/240_240/70/h29/h65/10224605855774.jpg"
"1553486709-1567","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Bộ sản phẩm Nước hồng sâm Hàn Quốc + Viên hoàn trầm hương nhung hươu SamSung (12 lọ 75ml + 12 viên/hộp)","2.899.000đ","https://media-ak.static-adayroi.com/240_240/70/h1d/hff/17082963558430.jpg"
"1553486684-1455","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh gạo One-One Gold vị Phô mai ngô gói 118g","24.200đ","https://media-ak.static-adayroi.com/240_240/70/h74/h11/14301300588574.jpg"
"1553486749-1743","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Giò bò Thủy Hùng gói 500g","114.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1667","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Mì Koreno vị tôm gói 1kg","73.400đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1539","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Nước khoáng thiên nhiên Lavie chai 350ml","3.400đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486744-1694","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Ngũ cốc ăn sáng Koko Krunch hộp 170g","52.900đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1723","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Sườn già heo Vietgap","48.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486709-1594","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Nấm linh chi nguyên tai HQGANO hộp 200g","400.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1399","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Hộp hoa tươi Hoa Yêu Thương - The Charming","1.650.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1751","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Bánh nướng nhân khoai môn nướng cắt Bảo Minh gói 160g","22.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1410","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Hộp hoa tươi Hoa Yêu Thương - Nắng Ban Mai","1.100.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1534","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Nước uống đóng chai Dasani 350ml","3.400đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1541","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Nước giải khát có gas Pepsi chai 390ml","4.900đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1526","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Khoai tây chiên vị muối và tảo biển Pringles lon 107g","32.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1480","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh quy Ritz Cheese cây 118g","16.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1782","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Nước chấm hương cá hồi Chin-su chai 500ml","35.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1781","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Dầu hào Maggi chai 820g","40.700đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1507","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Bánh snack vị kim chi Hàn Quốc O'Star gói 90g","21.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1529","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Cà phê sữa đá Highlands Coffee lon 235ml","10.400đ","https://media-ak.static-adayroi.com/240_240/70/hc9/hb8/16908618235934.jpg"
"1553486749-1747","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Giò bò Vissan cây 250g","58.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486709-1590","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Combo 2 Hộp Yến sào cho bé biếng ăn Bionest Kids - hộp quà tặng (12 lọ x 70ml)","456.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486744-1689","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Yến mạch ăn liền Quaker hộp 600g","56.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1488","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh quy kẹp kem phô mai Ritz gói 324g","45.400đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1514","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Bánh snack khoai tây Orion TaYO X vị tảo ngọt gói 28g","5.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1417","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Hộp hoa tươi Hoa Yêu Thương - Gánh Hàng Hoa","1.100.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1465","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh trứng Tipo gói 115g","18.100đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1763","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Đường tinh luyện Biên Hòa gói 500g","11.300đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1726","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Giò sống Vietgap","24.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1664","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Phở gà Đệ Nhất gói 65g","5.200đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1494","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Snack hành Oishi gói 45g","4.800đ","https://media-ak.static-adayroi.com/240_240/70/h09/h94/9479038468126.jpg"
"1553486709-1568","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Nước hồng sâm KGS Korean Red Ginseng Tonic 60 gói x 80ml","2.200.000đ","https://media-ak.static-adayroi.com/240_240/70/ha7/hc9/16691174440990.jpg"
"1553486675-1443","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Kẹo","https://www.adayroi.com/keo-c3325600174461076","Kẹo sô cô la Takenoko hộp 70g","58.800đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1732","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Trứng cút V.Food hộp 30 quả","27.100đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1477","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh quy Cream-O Jack'nJill gói 312g","23.200đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1729","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Giò lụa Vissan cây 500g","99.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486675-1420","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Kẹo","https://www.adayroi.com/keo-c3325600174461076","Kẹo chanh muối Wonder Food gói 150g","18.700đ","https://media-ak.static-adayroi.com/240_240/70/he1/h7c/9533641097246.jpg"
"1553486744-1712","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Bánh tráng Việt San gói 100g","7.200đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486709-1570","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Combo 6 Hộp Yến sào hồng sâm cao cấp Bionest Ginseng - hộp quà tặng (36 lọ x 70ml)","1.428.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1765","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Sốt ướp thịt nướng Cholimex gói 70g","6.300đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486709-1588","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Combo 2 Hộp Yến sào hồng sâm cao cấp Bionest Ginseng - hộp quà tặng (12 lọ x 70ml)","476.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1651","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Mì trộn khoai tây sốt spaghetti Omachi gói 91g","7.300đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486749-1728","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm tươi","https://www.adayroi.com/thuc-pham-tuoi-c595","Thịt ba rọi có da Vietgap","61.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486662-1385","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Hoa tươi","https://www.adayroi.com/hoa-tuoi-c658","Bình hoa tươi Hoa Yêu Thương - Bâng Khuâng","2.750.000đ","https://media-ak.static-adayroi.com/240_240/70/hd2/h81/16950999515166.jpg"
"1553486684-1479","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh quy sữa chua Misura hộp 200g","35.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486709-1591","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm bổ dưỡng","https://www.adayroi.com/thuc-pham-bo-duong-c692","Cao nghệ đông trùng hạ thảo Nhan Sắc Mộc hộp 135g","450.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
