web-scraper-order,web-scraper-start-url,Name,Address
"1553487593-2089","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart BìnhTriệu","Số 68/1 Quốc lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, TPHCM"
"1553487593-2090","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Cần Giờ","128 Đường Đào Cử, Khu phố Phong Thạnh, Thị trấn Cần THạnh, Huyện Cần Giờ, TP.HCM"
"1553487593-2102","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hùng Vương","96 Hùng Vương, P.9, Q.5, TP.HCM"
"1553487593-2083","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Miền Bắc (7 siêu thị)",""
"1553487593-2093","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Củ Chi","357 Quốc lộ 22, ấp Thượng, xã Tân Thông Hội, huyện Củ Chi, Tp HCM"
"1553487593-2115","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Tuy Lý Vương","40-54 Tuy Lý Vương, P.13, Q.8, Tp.HCM"
"1553487593-2111","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Phú Lâm","06 Bà Hom (vòng xoay Phú Lâm), P.13, Q.6, TPHCM"
"1553487593-2112","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Phú Thọ","Khu A, Chung cư Phú Thọ, P. 15, Q. 11, TP. HCM"
"1553487593-2098","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hiệp Thành","276 Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, TPHCM"
"1553487593-2121","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đại siêu thị Co.opXtra Thủ Đức","934 Quốc Lộ 1A, Linh Trung, Thủ Đức, TP. Hồ Chí Minh"
"1553487593-2110","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Phan Văn Trị","543/1 Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, TP.HCM"
"1553487593-2117","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Vĩnh Lộc B","Số 2 Khu tái định cư Vĩnh Lộc B, Đường số 8, Xã Vĩnh Lộc B, Huyện Bình Chánh, TPHCM"
"1553487593-2088","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Bình Tân","158 đường số 19, Bình Trị Đông B, Q.Bình Tân, Tp.HCM"
"1553487593-2082","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đông Nam Bộ (14 siêu thị)",""
"1553487593-2103","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Huỳnh Tấn Phát","1362 Huỳnh Tấn Phát, Khu phố 1, P.Phú Mỹ, Quận 7, TPHCM"
"1553487593-2116","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Văn Thánh","Tòa nhà Pearl Plaza, 561A Điện Biên Phủ, P.25, Quận Bình Thạnh"
"1553487593-2113","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Rạch Miễu","48 Hoa Sứ, P.7, Q. Phú Nhuận. TP. HCM"
"1553487593-2097","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hậu Giang","188 Hậu Giang, P.6, Q.6, TPHCM"
"1553487593-2105","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Nguyễn Ảnh Thủ","167/2 Nguyễn Ảnh Thủ, P.Trung Mỹ Tây, Q.12, Tp. HCM"
"1553487593-2119","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đại siêu thị Co.opXtra Phạm Văn Đồng","Tầng 2 & 3 TTTM Sense City (Tòa nhà Gigamall) 240-242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Q. Thủ Đức"
"1553487593-2107","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Nguyễn Đình Chiểu","168 Nguyễn Đình Chiểu, P.6, Q.3, TPHCM"
"1553487593-2094","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Đỗ Văn Dậy","18 Đỗ Văn Dậy, Ấp Tân Thới Nhất, Xã Tân Hiệp, Huyện Hóc Môn"
"1553487593-2092","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Cống Quỳnh","189C Cống Quỳnh - P.Nguyễn Cư Trinh, Q1 - TPHCM"
"1553487593-2109","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Nhiêu Lộc","Tầng trệt cao ốc SCREC, P.12, Q.3, TPHCM"
"1553487593-2101","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hóc Môn","Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, TP.Hồ Chí Minh"
